Soort,Voorraad,Prijs,Niet inpakken
Abrus precatorius,, €  3.00 ,x
Actinidia arguta 'Issai',300, €  3.50 ,koelkast
Actinidia kolomikta,800, €  2.50 ,koelkast
Actinidia polygama,voorraad, €  2.50 ,koelkast
Actinidia purpurea,40, €  3.00 ,koelkast
Adansonia digitata,400, €  3.00 ,
Adansonia grandidieri,, €  5.00 ,
Adansonia gregorii,250, €  5.00 ,
Adansonia madagascariensis,, €  5.00 ,
Adansonia fony,200,,
Adansonia rubrostripa,115, €  5.00 ,
Adansonia za,190, €  5.00 ,
Adenanthera pavonina,250, €  3.50 ,
Afzelia quanzensis,400, €  4.00 ,
Albizia julibrissin 'E.H. Wilson',400, €  3.00 ,
Albizia kalkora,1950, €  3.50 ,
Aleurites moluccana,20, €  4.00 ,
Aloe vera,20, €  3.50 ,
Alsomitra macrocarpa,, €  8.00 ,
Amorphophallus bulbifer,40, €  3.50 ,x
Amorphophallus paeoniifolius,100, €  6.00 ,
Anacardium occidentale,75, €  4.50 ,
Anigozanthos flavidus Yellow,1000, €  3.00 ,
Anigozanthos manglesii,1360, €  3.00 ,
Annona cherimola,100, €  3.00 ,
Annona conica,, €  6.00 ,
Annona edulis,10, €  4.00 ,
Annona muricata,100, €  3.00 ,
Annona purpurea,, €  3.50 ,
Annona squamosa,110, €  3.50 ,
Arachis hypogaea,1120, €  2.00 ,
Arachis hypogaea (Black),40, €  3.50 ,
Arbutus unedo,20p, €  3.00 ,
Arenga engleri,5, €  3.50 ,
Argania spinosa,, €  4.00 ,
Aristolochia baetica,, €  3.50 ,
Aristolochia elegans,10, €  3.00 ,
Aristolochia gigantea,60, €  3.00 ,
Aristolochia macrophylla,100, €  4.00 ,
Aristotelia chilensis,200, €  4.00 ,
Asimina triloba,, €  3.00 ,x
Averrhoa bilimbi,40, €  3.00 ,
Averrhoa carambola,100, €  4.00 ,
Bambusa bambos,, €  3.00 ,
Bambusa lako,50, €  4.00 ,
Bambusa ventricosa,, €  3.00 ,
Bauhinia monandra,50, €  3.50 ,
Bauhinia tomentosa,70, €  3.00 ,
Bauhinia variegata candida,, €  3.00 ,
Beaumontia grandiflora,30, €  3.50 ,
Billardiera longiflora,1000, €  3.00 ,
Bismarckia nobilis,30, €  5.00 ,
Bixa orellana,10, €  3.00 ,
Blossfeldia liliputana,760, €  3.00 ,
Boswellia sacra,180, €  4.00 ,
Brachychiton rupestris,120, €  3.50 ,
Browneopsis ucayalina,, €  9.00 ,x
Brugmansia arborea,280, €  3.00 ,
Bunchosia argentea,, €  9.00 ,x
Butea monosperma,, €  4.00 ,x
Caesalpinia bonduc,30, €  4.50 ,
Caesalpinia ciliata,, €  6.50 ,
Caesalpinia gilliesii,465, €  3.00 ,
Caesalpinia pulcherrima rosea,460, €  3.50 ,
Calliandra eriophylla,120, €  3.00 ,
Callistemon phoeniceus,45p, €  3.00 ,
Calycanthus floridus,7, €  4.00 ,
Calycanthus occidentalis,215, €  4.00 ,
Camellia sinensis,, €  4.00 ,x
Camptotheca acuminata,200, €  3.50 ,
Cananga odorata,1000, €  3.50 ,
Canarina canariensis,250, €  3.00 ,
Canavalia ensiformis,100, €  3.00 ,
Capparis spinosa,50, €  3.00 ,
Capsicum chinense Bhut Jolokia,100, €  3.50 ,
Cardiospermum halicacabum,120, €  3.00 ,
Carica pubescens,1300, €  3.00 ,
Carnegiea gigantea,800, €  3.00 ,
Carpotroche platyptera,, €  5.00 ,x
Ceiba pentandra,500, €  3.00 ,
Ceiba speciosa,1000, €  3.00 ,
Ceratonia siliqua,1000, €  3.00 ,
Chenopodium quinoa,2p, €  2.50 ,
Chimonanthus praecox,450, €  3.50 ,
Chiranthodendron pentadactylon,, €  6.00 ,
Cinnamomum zeylanicum,, €  6.00 ,x
Clianthus puniceus,200, €  3.00 ,
Clianthus puniceus alba,200, €  4.00 ,
Clitoria ternatea,1000, €  3.00 ,
Coccoloba uvifera,160, €  3.50 ,
Cochliasanthus caracalla,750, €  6.00 ,
Coffea arabica,700, €  3.00 ,
Coffea arabica catura,400, €  3.50 ,
Coffea arabica Kona,40, €  4.00 ,
Coffea arabica nana,, €  3.50 ,
Coffea canephora,, €  3.00 ,
Coix lacryma-jobi,270, €  3.00 ,
Cola nitida/acuminata,, €  8.00 ,x
Combretum grandiflorum,, €  4.00 ,
Cordyline indivisa,50, €  3.00 ,
Couroupita guianensis,50, €  7.00 ,x
Crescentia cujete,100, €  5.00 ,
Cucumis metuliferus,200, €  3.00 ,
Cuscuta lupuliformis,200, €  3.00 ,
Cyathea australis,10p, €  3.00 ,
Cyathea brownii,, €  5.00 ,
Cyathea cooperi,20p, €  3.00 ,
Cyathea medullaris,20p, €  3.00 ,
Cyathea rebeccae,, €  4.00 ,
Cyathea robertsiana,2p, €  4.00 ,
Cyperus papyrus,50p, €  3.50 ,
Cyphomandra betacea,1000, €  2.50 ,
Cyphomandra betacea yellow,500, €  2.50 ,
Darlingtonia californica,20, €  3.50 ,koelkast
Davidia involucrata,40, €  6.00 ,
Decaisnea fargesii,, €  3.00 ,
Delonix regia,900, €  3.00 ,
Delonix regia orange,, €  4.50 ,
Delonix regia var. Flavida,50, €  4.50 ,
Dendrocalamus strictus,200, €  3.00 ,
Deppea splendens,, €  20.00 ,
