speciesID,nameDutch,nameLatin,nameEnglish,package,expirationTime,pricePerBag,seedsPerBag
,,Abrus precatorius,,,, €  3.00 ,
,,Actinidia arguta 'Issai',,,, €  3.50 ,
,,Actinidia kolomikta,,,, €  2.50 ,
,,Actinidia polygama,,,, €  2.50 ,
,,Actinidia purpurea,,,, €  3.00 ,
,,Adansonia digitata,,,, €  3.00 ,
,,Adansonia grandidieri,,,, €  5.00 ,
,,Adansonia gregorii,,,, €  5.00 ,
,,Adansonia madagascariensis,,,, €  5.00 ,
,,Adansonia fony,,,,,
,,Adansonia rubrostripa,,,, €  5.00 ,
,,Adansonia za,,,, €  5.00 ,
,,Adenanthera pavonina,,,, €  3.50 ,
,,Afzelia quanzensis,,,, €  4.00 ,
,,Albizia julibrissin 'E.H. Wilson',,,, €  3.00 ,
,,Albizia kalkora,,,, €  3.50 ,
,,Aleurites moluccana,,,, €  4.00 ,
,,Aloe vera,,,, €  3.50 ,
,,Alsomitra macrocarpa,,,, €  8.00 ,
,,Amorphophallus bulbifer,,,, €  3.50 ,
,,Amorphophallus paeoniifolius,,,, €  6.00 ,
,,Anacardium occidentale,,,, €  4.50 ,
,,Anigozanthos flavidus Yellow,,,, €  3.00 ,
,,Anigozanthos manglesii,,,, €  3.00 ,
,,Annona cherimola,,,, €  3.00 ,
,,Annona conica,,,, €  6.00 ,
,,Annona edulis,,,, €  4.00 ,
,,Annona muricata,,,, €  3.00 ,
,,Annona purpurea,,,, €  3.50 ,
,,Annona squamosa,,,, €  3.50 ,
,,Arachis hypogaea,,,, €  2.00 ,
,,Arachis hypogaea (Black),,,, €  3.50 ,
,,Arbutus unedo,,,, €  3.00 ,
,,Arenga engleri,,,, €  3.50 ,
,,Argania spinosa,,,, €  4.00 ,
,,Aristolochia baetica,,,, €  3.50 ,
,,Aristolochia elegans,,,, €  3.00 ,
,,Aristolochia gigantea,,,, €  3.00 ,
,,Aristolochia macrophylla,,,, €  4.00 ,
,,Aristotelia chilensis,,,, €  4.00 ,
,,Asimina triloba,,,, €  3.00 ,
,,Averrhoa bilimbi,,,, €  3.00 ,
,,Averrhoa carambola,,,, €  4.00 ,
,,Bambusa bambos,,,, €  3.00 ,
,,Bambusa lako,,,, €  4.00 ,
,,Bambusa ventricosa,,,, €  3.00 ,
,,Bauhinia monandra,,,, €  3.50 ,
,,Bauhinia tomentosa,,,, €  3.00 ,
,,Bauhinia variegata candida,,,, €  3.00 ,
,,Beaumontia grandiflora,,,, €  3.50 ,
,,Billardiera longiflora,,,, €  3.00 ,
,,Bismarckia nobilis,,,, €  5.00 ,
,,Bixa orellana,,,, €  3.00 ,
,,Blossfeldia liliputana,,,, €  3.00 ,
,,Boswellia sacra,,,, €  4.00 ,
,,Brachychiton rupestris,,,, €  3.50 ,
,,Browneopsis ucayalina,,,, €  9.00 ,
,,Brugmansia arborea,,,, €  3.00 ,
,,Bunchosia argentea,,,, €  9.00 ,
,,Butea monosperma,,,, €  4.00 ,
,,Caesalpinia bonduc,,,, €  4.50 ,
,,Caesalpinia ciliata,,,, €  6.50 ,
,,Caesalpinia gilliesii,,,, €  3.00 ,
,,Caesalpinia pulcherrima rosea,,,, €  3.50 ,
,,Calliandra eriophylla,,,, €  3.00 ,
,,Callistemon phoeniceus,,,, €  3.00 ,
,,Calycanthus floridus,,,, €  4.00 ,
,,Calycanthus occidentalis,,,, €  4.00 ,
,,Camellia sinensis,,,, €  4.00 ,
,,Camptotheca acuminata,,,, €  3.50 ,
,,Cananga odorata,,,, €  3.50 ,
,,Canarina canariensis,,,, €  3.00 ,
,,Canavalia ensiformis,,,, €  3.00 ,
,,Capparis spinosa,,,, €  3.00 ,
,,Capsicum chinense Bhut Jolokia,,,, €  3.50 ,
,,Cardiospermum halicacabum,,,, €  3.00 ,
,,Carica pubescens,,,, €  3.00 ,
,,Carnegiea gigantea,,,, €  3.00 ,
,,Carpotroche platyptera,,,, €  5.00 ,
,,Ceiba pentandra,,,, €  3.00 ,
,,Ceiba speciosa,,,, €  3.00 ,
,,Ceratonia siliqua,,,, €  3.00 ,
,,Chenopodium quinoa,,,, €  2.50 ,
,,Chimonanthus praecox,,,, €  3.50 ,
,,Chiranthodendron pentadactylon,,,, €  6.00 ,
,,Cinnamomum zeylanicum,,,, €  6.00 ,
,,Clianthus puniceus,,,, €  3.00 ,
,,Clianthus puniceus alba,,,, €  4.00 ,
,,Clitoria ternatea,,,, €  3.00 ,
,,Coccoloba uvifera,,,, €  3.50 ,
,,Cochliasanthus caracalla,,,, €  6.00 ,
,,Coffea arabica,,,, €  3.00 ,
,,Coffea arabica catura,,,, €  3.50 ,
,,Coffea arabica Kona,,,, €  4.00 ,
,,Coffea arabica nana,,,, €  3.50 ,
,,Coffea canephora,,,, €  3.00 ,
,,Coix lacryma-jobi,,,, €  3.00 ,
,,Cola nitida/acuminata,,,, €  8.00 ,
,,Combretum grandiflorum,,,, €  4.00 ,
,,Cordyline indivisa,,,, €  3.00 ,
,,Couroupita guianensis,,,, €  7.00 ,
,,Crescentia cujete,,,, €  5.00 ,
,,Cucumis metuliferus,,,, €  3.00 ,
,,Cuscuta lupuliformis,,,, €  3.00 ,
,,Cyathea australis,,,, €  3.00 ,
,,Cyathea brownii,,,, €  5.00 ,
,,Cyathea cooperi,,,, €  3.00 ,
,,Cyathea medullaris,,,, €  3.00 ,
,,Cyathea rebeccae,,,, €  4.00 ,
,,Cyathea robertsiana,,,, €  4.00 ,
,,Cyperus papyrus,,,, €  3.50 ,
,,Cyphomandra betacea,,,, €  2.50 ,
,,Cyphomandra betacea yellow,,,, €  2.50 ,
,,Darlingtonia californica,,,, €  3.50 ,
,,Davidia involucrata,,,, €  6.00 ,
,,Decaisnea fargesii,,,, €  3.00 ,
,,Delonix regia,,,, €  3.00 ,
,,Delonix regia orange,,,, €  4.50 ,
,,Delonix regia var. Flavida,,,, €  4.50 ,
,,Dendrocalamus strictus,,,, €  3.00 ,
,,Deppea splendens,,,, €  20.00 ,
,,Desmodium gyrans,,,, €  4.00 ,
,,Dicksonia antarctica,,,, €  3.50 ,
,,Dicksonia fibrosa,,,, €  3.50 ,
,,Dioclea reflexa,,,, €  5.00 ,
,,Dionaea muscipula,,,, €  3.00 ,
,,Dioscorea elephantipes,,,, €  3.00 ,
,,Diospyros digyna,,,, €  5.00 ,
,,Diospyros kaki,,,, €  3.00 ,
,,Diospyros lotus,,,, €  3.00 ,
,,Diospyros virginiana,,,, €  3.50 ,
,,Doryanthes excelsa,,,, €  3.00 ,
,,Doryanthes palmeri,,,, €  3.50 ,
